Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
223.133758447498,C18217,M-2H[2-],507.010498046875,0.000215085732008902,EC00092
253.21700280371,C18218,M-H2O-H[-],892.1240234375,0.000220729519980978,EC00093
279.232064513503,C19418,M-H2O-H[-],878.665405273438,0.000859019726988208,EC00094
279.232064513503,C19616,M-H2O-H[-],878.665405273438,0.000859019726988208,EC00094
295.227401827226,C19620,M-H2O-H[-],690.274780273438,0.000421706003976396,EC00095
329.23201757926,C19620,M-H+O[-],447.292907714844,0.00131595396999273,EC00096
249.185307883837,C19740,M+HCOO[-],581.038024902344,0.000137116163017481,EC00079
249.185384832084,C19740,M+HCOO[-],741.910614013672,6.01679160183721e-05,EC00080
187.097167519865,C19757,M+HCOO[-],313.158233642578,0.00012251986498768,EC00097
609.146508685251,C19796,M-H[-],270.225952148438,0.000385152020953683,EC00098
610.150074193376,C19796,M(C13)-H[-],270.227966308594,0.000550660145904658,EC00098
625.142708682723,C19796,M-H+O[-],242.668426513672,0.00167514949293945,EC00099
249.185307883837,C19908,M+HCOO[-],581.038024902344,0.000137116163017481,EC00079
249.185384832084,C19908,M+HCOO[-],741.910614013672,6.01679160183721e-05,EC00080
626.145173662878,C20490,M+HCOO[-],242.409049987793,0.00307133712203722,EC000100
277.216777234667,C20700,M+CH3COO[-],691.366001220703,1.77653329842542e-05,EC000101
249.185307883837,C20724,M+HCOO[-],581.038024902344,0.000137116163017481,EC00079
249.185384832084,C20724,M+HCOO[-],741.910614013672,6.01679160183721e-05,EC00080
353.087270509914,C21284,M-2H[2-],189.901420593262,0.000396976683987305,EC000102
707.183761238894,C21284,M-H[-],189.928726196289,0.00273770566400344,EC000102
708.187276898852,C21284,M(C13)-H[-],191.137023925781,0.00285336562194516,EC000102
609.146508685251,C21854,M-H+O[-],270.225952148438,0.000375152020978931,EC000103
291.196252348901,C21923,M-H2O-H[-],661.908050537109,0.000271184328994423,EC00064
309.206243587439,C21923,M-H[-],570.629272460938,0.000879945790984493,EC00065
310.209995406926,C21923,M(C13)-H[-],588.156555175781,0.000528126304004672,EC00065
369.22745830553,C21923,M+CH3COO[-],681.299926757812,0.000236694470061138,EC00064
293.211577377412,C21924,M-H2O-H[-],645.10888671875,0.000646155817946692,EC00059
327.217203022431,C21924,M-H+O[-],446.650512695312,0.000530510798967043,EC00060
111.008431538436,C22007,M-2H[2-],42.4078750610352,0.00034199479401309,EC000104
205.071948916951,C22421,M+Na-2H[-],153.622566223145,0.000698149509020141,EC000105
